551	0	we can just wait for their self-healing after we break our legs	We usually go to the hospital after we break our legs
552	0	Being sedentary is a good thing	Being sedentary is not a good thing
553	1	a Dog usually bite strangers when it sees them	a Dog usually bite acquaintances when it sees them
554	0	Ripe apples are hot	Ripe apples are sweet
555	0	All the birds can fly	Most birds can fly
556	0	People usually don't use pillows when they sleep	People usually use pillows when they sleep
557	1	People usually use tableware when they eat	People usually don't use tableware when they eat
558	1	people bath in the bathroom	people eat their lunch in the bathroom
559	1	People usually wash their hair with shampoo	People usually wash their hair with toothpaste
560	0	The moon is brighter than the sun	The sun is brighter than the moon
561	1	People usually sit in chairs	People usually lie on chairs
562	0	I opened the wardrobe to illuminate the room	I turn on the light to illuminate the room
563	0	Men usually use lipstick	Women usually use lipstick
564	0	Vegetarian usually like eating meat	Vegetarian usually don't eat meat
565	0	Dogs can eat chocolate	Dogs can eat meat
566	1	We can know the time through the watch	We can't know the time through the watch
567	0	People usually eat the peel of the watermelon	People usually eat the flesh of the watermelon
568	0	Everyone can eat peanuts	Most people can eat peanuts
569	0	People usually can't smell the fragrance of jasmine	People usually can't smell the fragrance of grass
570	1	Most people with cancer die	Only a few people with cancer die
571	1	People can't take drugs at will	People can take drugs at will
572	0	Hens can give birth to chickens directly	Hens can't give birth to chickens directly
573	0	The tortoise usually runs faster than the rabbit	The rabbit usually runs faster than the tortoise
574	1	Students should do homework	Students shouldn't do homework
575	1	Most people are afraid of snakes	Most people like snakes
576	1	I have the same name as him	I have the same fingerprints as him
577	1	anyone can be a Marathoner	only the male can be a Marathoner
578	0	People can't find others lying	People can find others lying sometimes
579	1	A dermatologist can cure skin disease	A dermatologist can cure heart disease
580	0	We can hurt others at will	We can't hurt others at will
581	0	All oranges are sweet	all oranges are fruits
582	0	People often eat in the toilet	People often eat in restaurants
583	1	A chair usually has four legs	A chair usually has three legs
584	1	Many people drink coffee to refresh themselves	Many people drink coffee to sleep
585	1	We put the clothes in the washing machine	We put food in the washing machine
586	1	Hot dogs are not dogs	Hot dogs are dogs
587	1	We can work seven days a week	We can work eight days a week
588	0	Poor sleep can lead to high energy levels	Poor sleep can lead to lethargy
589	0	Getting a Ph.D. is an easy task	Getting a Ph.D. is no easy task
590	1	I take an ax to cut wood	I take a sickle to cut wood
591	0	Burning garbage makes the environment better	Burning garbage makes the environment worse
592	0	The sun ceases to shine at night	The sun shines all the time
593	1	the diabetic cannot eat candy at will	the Diabetic can eat candy at will
594	0	If people have something urgent to go to a place, they usually walk	If people have something urgent to go to a place they usually take a plane
595	0	You can use the air conditioner without electricity	You can't use the air conditioner without electricity
596	0	Most people don't need friends	Most people have friends
597	0	Trees can have no bark	A tree cannot live without its bark
598	0	You can find two identical leaves	You can't find two identical leaves
599	1	the sun won't stay on all day	the sun will stay on all day
600	1	Most people don't like mice	Most people like mice
601	0	You can drive on the highway without a driving license	You can't drive on the highway without driving license
602	1	You can find the Eiffel Tower in France	You can find the statue of liberty in France
603	0	People don't need to wear clothes	People need to wear clothes
604	1	Most people forget things sometimes	Most people don't forget things anytime
605	0	Ugly boys are more likely to find girlfriends	Handsome boys are more likely to find girlfriends
606	0	When we get sick we go to school	When we get sick we go to the hospital
607	0	When we want to listen to the song, we can use a USB plate	When we want to listen to the song we can use an mp3
608	1	We can observe a star with a telescope	We can observe a star with a microscope
609	0	Fire is common in the sea	Water is common in the sea
610	0	People who are allergic to potatoes can eat chips	People who are allergic to potatoes can't eat chips
611	1	Mars is not habitable	Mars is suitable for human survival
612	0	A working guitar can have no strings	A working guitar has strings
613	0	When something breaks, we can glue them with water	When something breaks, we can glue them with glue
614	1	Germinated sweet potatoes cannot be eaten	Germinated sweet potatoes can be eaten
615	0	All flowers have fragrance	Some flowers have no fragrance.
616	1	Some trees do not fall leaves in autumn	All trees lose their leaves in autumn.
617	1	females are found at beauty salons more often than males	males are found at beauty salons more often than females
618	0	apple juice is made of bananas	apple juice is made of apples
619	1	the Heartbeat is faster in children than in adults normally	the Heartbeat is slower in children than in adults normally
620	0	a baton is used for playing music	a flute is used for playing music
621	0	You can see the pine trees blooming	You can not see the pine trees blooming
622	1	Clouds come in all kinds of colors	Clouds have no color
623	1	the sky is black in the evening	the sky is blue in the evening
624	1	I go to work to earn money	I go to work to earn time
625	0	My hair is too short so I need a haircut	My hair is too long so I need a haircut
626	0	People think more efficiently in noisy environments	People think more efficiently in quiet environments
627	0	I'm grazing tigers	I'm grazing cows
628	1	Working all day is very tiring	Working all day is very relaxing
629	1	A bed is a comfortable place to sleep	A table is a comfortable place to sleep
630	1	Something you find at the airport is an airplane	Something you find at the airport is a ship
631	1	winners can get prizes	losers can get prizes
632	0	smoking is good	smoking is bad
633	1	I will confirm my email through my computer	I will confirm my email through my radio
634	1	air is free	air is charged
635	1	the bike is an old invention	the bike is a new invention
636	1	There is ink in the pen so we can write	There is water in the pen so we can write
637	0	I like European culture because I traveled to Canada last year	I like European culture because I traveled to England last year
638	0	The last thing you do when you visit a museum is buying a ticket	The first thing you do when you visit a museum is buying a ticket
639	0	many people can feel that death is the start of life	many people can feel that death is the end of life
640	1	A pig is an animal	An apple is an animal
641	0	television is a device you use to contact people	A telephone is a device you use to contact people
642	0	you would buy French fries because they are healthy for you to eat	you would buy fresh fruits because they are healthy for you to eat
643	0	a person wants to buy ugly things	a person wants to buy nice things
644	1	a joke can make you laugh	a joke can make you cry
645	0	a ruler can be used to cut things	a knife can be used to cut things
646	1	The snow is wet	The snow is dry
647	1	The desert is lack of water	The desert is full of water
648	0	the universe is very small	the universe is very large
649	1	car engines can use oil	car engines can use air
650	1	Time is changing	Time is static
651	0	The car is driving slowly on the highway	The car is driving fast on the highway
652	0	Wallets can be used to put computers.	Wallets can be used to put money.
653	0	College is usually free	College usually requires tuition fees
654	0	Children can play with guns	Children can't play with guns
655	1	Eating too much often makes people fat	Eating too much often makes people thin
656	1	Music is usually loved by people	Music is usually hated by people
657	1	People usually drink white milk	People usually drink black milk
658	0	We can see dinosaurs playing with people	We can see dogs playing with people
659	0	We can visit the website through books	We can visit websites through computers
660	1	We can write on paper with a pen	We can write on paper with an eraser
661	1	Children usually like toys	Adults usually like toys
662	0	We can buy human in the supermarket	We can buy snacks in the supermarket
663	1	Humans usually hate viruses	Humans usually like viruses
664	0	Those who break the law will be rewarded	Those who break the law will be punished
665	1	people usually need to sleep	people usually don't need to sleep
666	0	A room with windows is usually dark at day	A room with windows is usually lighter at day
667	1	Most modern houses are made of concrete	Most modern houses are made of wood
668	1	People should wear seatbelts when driving	People can't wear seatbelts when driving
669	1	People are usually afraid of sharks	People usually like sharks
670	0	Alarm clocks usually help people fall asleep	Alarm clocks usually help people get up
671	0	People usually hold umbrellas on cloudy days	People usually hold umbrellas on rainy days
672	0	Thieves are glad of seeing the police	Thieves are afraid of seeing the police
673	0	He wore a ring on his ring finger, but he was single	He wore a ring on his ring finger and he was married
674	1	People will go to doctors when they get sick	People won't go to doctors when they get sick
675	0	People can drink seawater when they are thirsty	People can drink water when they are thirsty
676	1	People use electric fans when they are hot	People use electric fans when they are cold
677	1	Tourists usually take cameras with them	Tourists will not take cameras with them
678	0	Students should be indulged in games	Students may be indulged in games
679	1	Dogs can help police search for drugs	cats can help police search for drugs
680	0	Diamonds can't cut glass	Diamonds can cut glass
681	0	applicants can give their bosses jobs	Bosses can give applicants jobs
682	1	People usually use sunscreen in the sun	People usually use sunscreen at night
683	0	It's easy for people to find gems	It's hard for people to find gems
684	0	You can't ask the stewardess for help while flying	You can ask the stewardess for help while flying
685	1	We can't see salt in water	We can see salt in water
686	0	Most people hate cats	Most people like cats
687	1	we can see blood in human's wounds	we cannot see blood in human's wounds
688	1	People usually put their quilts in bed	People usually put their quilts in the kitchen
689	0	sheepherders usually feed sheep with meat	sheepherders usually feed sheep with grass
690	0	People shouldn't add gasoline to cars	People can add gasoline to cars
691	1	People usually watch movies in cinemas	People usually watch movies in hospitals
692	1	spending money is to get happiness	spending money is to get sadness
693	1	Tulip is my favorite flower	Willow is my favorite flower
694	1	This area is dangerous so you have to be careful	This area is dangerous so you have to be careless
695	1	the first thing you do when you eat something is opening your mouth	the first thing you do when you eat something is closing your mouth
696	1	He is seventy years old so it is time for him to retire	He is thirty years old so it is time for him to retire
697	0	paper can be used to make musical instruments	metal can be used to make musical instruments
698	0	musical instruments can be used to play baseball	musical instruments can be used to perform music
699	1	What you see in the room is a cat	What you see in the room is a giraffe
700	0	Tokyo is one of the largest countries in the world	China is one of the largest countries in the world
701	0	We usually press the button of elevators with our toes	We usually press the button of elevators with our fingers
702	0	A church is a place where people sleep	A church is a place where people pray
703	1	paper can be made from wood	paper can be made from sand
704	0	If you want to see then you should open your mouth	If you want to see then you should open your eyes
705	0	an umbrella is for sheltering you from the wind	an umbrella is for sheltering you from the rain
706	0	People celebrate on the day of death	People celebrate on the day of birth
707	0	most people look forward to a funeral someday	most people look forward to a wedding someday
708	0	Tigers are very common pets	Dogs are very common pets
709	1	pigs are mammals	birds are mammals
710	0	I wish I had bad luck	I wish I had good luck
711	1	His house is in the rich area so it is very expensive	His house is in the rich area so it is very cheap
712	1	You are likely to find a fish around in a river	You are likely to find a fish around in the sky
713	1	You would go for a run because you feel energetic	You would go for a run because you feel tired
714	0	your fingers are part of your face	your nose is part of your face
715	0	the Vegetable salad is junk food	French fries are junk food
716	1	A boy is a male	A girl is a male
717	0	You would go on a study because you need a break	You would go on a vacation because you need a break
718	1	He was drunk yesterday so he forgot what had happened	He was sober yesterday so he forgot what had happened
719	1	water can become ice when it freezes	water can become steam when it freezes
720	1	the moon is a satellite of the earth	the sun is a satellite of the earth
721	1	The land is very fertile so the grain grows very well	The land is very barren so the grain grows very well
722	1	The arctic areas are very cold	The Equatorial areas are very cold
723	0	The desk is for sleeping on	The desk is for working with
724	0	I am full so I want to eat right away	I am hungry so I want to eat right away
725	0	Somebody is sleeping so we should keep voice up	Somebody is sleeping so we should keep voice down
726	0	people want to have rude neighbors	people want to have friendly neighbors
727	1	the rich have a lot of money	the poor have a lot of money
728	1	We should wear formal clothes at work	We should wear formal clothes at home
729	0	Our government is very credible so we distrust it very much	Our government is very credible so we trust it very much
730	1	These people are kind to me so I can trust him	These people are bad for me so I can trust him
731	1	He was so smart that he quickly understood the nature of the problem	He was so stupid that he quickly understood the nature of the problem
732	1	This restaurant is so popular that it is crowded every day	This restaurant is so unpopular that it is crowded every day
733	1	You are likely to find a mouse around in any room of the house	You are likely to find a cow around in any room of the house
734	1	science fiction is not real	Autobiography is not real
735	0	Gloves can protect the head	hats can protect the head
736	0	The law allows us to kill people	The law forbids us to kill people
737	0	A fox is a faithful companion	A dog is a faithful companion
738	0	Drinking too much water can make people drunk	Drinking too much wine can make people drunk
739	0	people want a dirty bathroom	people want a clean bathroom
740	0	I am five years old so I am very old	I am one hundred years old so I am very old
741	1	You would listen to music because it is enjoyable	You would listen to music because it is torturing
742	1	People laugh when they are happy	People cry when they are happy
743	0	A easy job is stressful	A difficult job is stressful
744	1	I am a left-handed person so I write with my left hand	I am a left-handed person so I write with my right hand
745	1	My friend broke up with his girlfriend so I should comfort him	My friend broke up with his girlfriend so I should ridicule him
746	0	Something you need to do before you go to bed is turning on the lights	Something you need to do before you go to bed is turning off the lights
747	0	We will be punished for obeying the rules	We will be punished for breaking the rules
748	0	I will travel at the work	I will travel during the holidays
749	0	We cut meat with a ruler	We cut meat with a knife
750	1	Fisherman depend on fishing for their livelihood	Fisherman depend on farming for their livelihood
751	1	People are in danger when an earthquake happens	People are safe when an earthquake happens
752	1	We should stay away from volcanoes	We should be close to volcanoes
753	1	We need to protect the environment	We need to pollute the environment
754	0	you will have a spouse If you get divorced	you will have a spouse If you get married
755	0	we need to keep noisy in the museum	we need to keep quiet in the museum
756	1	I went to the library to borrow books	I went to the restaurant to borrow books
757	1	my mother asks me to listen carefully in class	my mother asks me to play cards in class
758	1	I drink milk every day to keep healthy	I drink beer every day to keep healthy
759	0	you need to fail the exam to get a certification	you need to pass the exam to get a certification
760	0	we are good friends so we abuse each other	we are good friends so we help each other
761	0	elephants are quite little animals	Mice are quite little animals
762	1	Children need to stay away from Alcohol	Children need to stay away from books
763	1	traveling the world will broaden your horizon	traveling the world will narrow your horizon
764	1	We play football in the stadium	We play football in my bedroom
765	1	There are many guests in this restaurant because of its perfect food	There are few guests in this restaurant because of its perfect food
766	1	We should stand in line when there is a queue	We should cut in line when there is a queue
767	0	People respect him very much because he is a murderer	People respect him very much because he is a doctor
768	1	Time is abstract	Time is specific
769	0	People can breathe in the water	People can breathe in the air
770	1	You can use leaves to feed to Sloths	You can use meat to feed to Sloths
771	1	he became one of my best friends because he is sincere	he became one of my best friends because he is hypocritical
772	1	it is useful to read books every day	it is useless to read books every day
773	1	I am good at swimming because I have always live by the sea	I am good at swimming because I have always live in the desert
774	1	the people in cities are usually richer than the people in the countryside	the people in cities are usually poorer than the people in the countryside
775	0	People usually Shed tears during exercising	People usually sweat during exercising
776	1	People usually enter houses through doors	People usually enter houses through windows
777	1	People usually sleep in quiet places	People usually sleep in noisy places
778	0	You can see many people live in the water	You can see many people live on land
779	0	Most people can afford luxury goods	Most people can't afford luxury goods
780	0	We need airplanes to go to the moon	We need rockets to go to the moon
781	0	We can hear voices in the vacuum	We can't hear voices in the vacuum
782	1	People should throw banana peels in the garbage can	People should throw banana peels on the ground
783	1	People usually use electrical appliances with dry hands	People usually use electrical appliances with wet hands
784	0	People can't use plants to make paper	People usually use plants to make paper
785	1	teenagers shouldn't smoke	teenagers should smoke
786	0	people usually ask a waiter to cook	people usually ask a chef to cook
787	0	Bees usually live in places with few flowers	Bees usually live in places with plenty of flowers
788	1	People shouldn't believe what happens in their dreams	People should believe what happens in their dreams
789	1	Most countries need troops	Most countries don't need troops
790	0	Pianists usually have inflexible fingers	Pianists usually have very flexible fingers
791	1	we are usually prohibited smoking in Gas stations	we are usually allowed to smoke in Gas stations
792	1	People can't know what will happen in the future	People usually know what will happen in the future
793	0	People like mice	People hate mice
794	0	Shepherds usually like wolves	Shepherds usually hate wolves
795	1	People living in the desert usually save water	People living in the desert often waste water
796	1	Generally speaking taking notes is a good habit	Generally speaking taking notes is not a good habit
797	0	Materialists believe in the existence of Jesus	Materialists don't believe in the existence of Jesus
798	1	Eating kelp with Onions is not good for your health	Eating kelp with Onions is good for your health
799	0	We can use the ATM to get bank cards	We can use the ATM to save money
800	1	Software development requires money	Software development doesn't cost money
801	1	Not all boys like girls on the sexual aspect	All the boys like girls on the sexual aspect
802	1	We wear fewer clothes when the weather gets warmer	We wear more clothes when the weather gets warmer
803	0	It's healthier to drink river water	It's healthier to drink boiled water
804	1	Most of the goods are not free	Most of the goods are free
805	1	Keys are usually made of metal	Keys are usually made of plastic
806	0	When the house stinks we don't want to clean it	When the house stinks we want to clean it
807	0	Milk can be drunk at room temperature for a month after being opened	Milk must be discarded at room temperature for a month after being opened
808	1	In order to protect the trees we should refuse to cut them down	In order to protect the trees we should use less disposable paper towels
809	1	In ordinary times we can't see the legendary dragon	In ordinary times we can see the legendary dragon
810	0	Copying homework is a good thing	Copying homework is not a good thing
811	1	Many people go bald as they get older	Many people don't go bald as they get older
812	1	When we're laughing, we're generally happy	When we're laughing, we are usually sad
813	1	The CPU is usually the core of a computer	The mouse is usually the core of a computer
814	1	It's not good to get x-rays frequently	It's good to get x-rays frequently
815	0	Taking too much medicine is a good thing	Taking too much medicine is not a good thing
816	1	When we want to look out the window, we open the curtains	When we want to look out the window, we close the curtains
817	1	When we want to log into a new website we have to register first	When we want to log into a new website it's not necessary to register
818	1	We feel tired after exercising for a long time	We feel energetic after exercising for a long time
819	0	people usually use water cup to retain meal	people usually use water cup to retain water
820	0	The doctor usually goes to the hospital because they are sick	The patient usually goes to the hospital because they are sick
821	1	When people encounter robbers they will call the police	When people encounter robbers they will call ambulances
822	0	People can play on the highway	People can play on the playground
823	0	People can't ask a guide for help when they travel	People can ask a guide for help when they travel
824	0	People can eat a lot of junk food	People can't eat a lot of junk food
825	1	People shouldn't pollute water resources	People should pollute water resources
826	1	Myopic people usually need glasses	Myopic people usually don't need glasses
827	0	parks are not suitable for walking around	parks are suitable for walking around
828	0	People usually run without shoes	People usually run with shoes
829	0	People usually wear clothes made of wood	People usually wear clothes made of cotton
830	1	People can send letters with pigeons	People can't send letters with pigeons
831	1	People shouldn't eat a lot of sugar	People should eat a lot of sugar
832	0	it's easy for people without hearts to survive	it's hard for people without hearts to survive
833	1	humans are usually cautious of wild tigers	humans are usually casual to wild tigers
834	1	Snakes usually eat mice or birds	Snakes usually eat elephants
835	1	Most roads have trees beside them	Most roads have no trees beside them
836	1	humans usually breathe with their noses	humans breathe only with their noses
837	0	People can use computers in the shower	People can't use computers in the shower
838	1	humans usually eat with their mouths	humans usually don't eat with their mouths
839	1	Iron products are usually sensitive to rain	Iron products are usually not sensitive to rain
840	0	People shouldn't feed monkeys bananas	People usually feed monkeys bananas
841	1	People usually wear sunglasses on sunny days	People usually wear sunglasses on rainy days
842	1	People usually knock at the door before entering	People usually don't knock at the door before entering
843	0	People usually grab crab forceps	People usually grab the crab's back
844	1	Grass usually grows in spring	Grass usually grows in winter
845	0	I am so relaxed that I do not know what to say	I am so nervous that I do not know what to say
846	0	we are going to watch the sunset tomorrow so you need to get up early	we are going to watch the sunrise tomorrow so you need to get up early
847	1	a chair can be used to sit	a chair can be used to lie
848	0	doing housework is a good way to entertain ourselves	watching movies is a good way to entertain ourselves
849	0	I need water because I am hungry	I need water because I am thirsty
850	1	I love the play very much because it is wonderful	I love the play very much because it is terrible
851	0	this company makes a lot of money because of its outdated equipment	this company makes a lot of money because of its advanced equipment
852	0	there are many kinds of plants in Antarctica	there are many kinds of plants in Africa
853	0	Cosmetics can make me more ugly	Cosmetics can make me more beautiful
854	1	Basketball is spherical	Basketball is square
855	1	The monitor is a part of the computer	the mirror is a part of the computer
856	0	this novel is too thin to finish quickly	this novel is too thick to finish quickly
857	1	People can make up in the bathroom	People can't make up in the bathroom
858	1	People can't talk loudly in hospitals	People can talk loudly in hospitals
859	1	You can't see the living dragon	You can see the living dragon
860	1	Soldiers are usually very strong	Soldiers are usually very weak
861	0	People shouldn't drink tea	People should drink tea
862	1	People shouldn't tell strangers the address of their families	People should tell strangers the address of their families
863	0	You can touch the software with your hands	You can't touch the software with your hands
864	1	You can save drowning people if you can swim	You can save drowning people if you can't swim
865	1	People should correct their mistakes	People should ignore their mistakes
866	0	People usually see lightning on sunny days	People usually see lightning on rainy days
867	1	People go to school for studying	People go to school for sleeping
868	1	Doctors need to write papers	Doctors don't need to write papers
869	0	People usually drive tanks at sea	People usually drive tanks on land
870	0	People should destroy the collections in museums	People shouldn't destroy the collections in museums
871	1	People usually like pet dogs	People usually hate pet dogs
872	1	People can usually see chickens on the ground	People can usually see chickens in the sky
873	0	People usually hate to travel	People usually like to travel
874	1	People can judge the direction by the sun	People can't judge the direction by the sun
875	0	Businessmen are usually rude to their guests	Businessmen are usually polite to their guests
876	1	I can pass the shopping mall easily because it is empty	I can pass the shopping mall easily because it is crowded
877	0	we cannot live without wine	we cannot live without water
878	0	children are encouraged to be dishonest	children are encouraged to be honest
879	0	Love is a terrible feeling	Love is a wonderful feeling
880	0	water has the effect of making things dry	water has the effect of making things wet
881	1	we can drive with a driver's license	we can drive without a driver's license
882	0	People usually wear clothes when they take a bath	People usually wear nothing when they take a bath
883	1	People should wash dirty clothes	People should wash clean clothes
884	1	People usually drink clean water	People usually drink river water
885	1	People usually like gold	People hardly like gold
886	0	Students usually do their homework in bed	Students usually do their homework on the desk
887	0	Wheat is of no use to human beings	Wheat is useful to human beings
888	0	Humans usually like eating mice	Humans usually like eating pork
889	1	Children should play with toys	Children should play with knives
890	1	People don't need to use air conditioning on the day in a temperature	People don't need to use air conditioning on a hot day
891	1	People are usually upset when they fall down	People are usually happy when they fall down
892	0	People need to work on holidays	People need to work on weekdays
893	0	People usually read books when they walk	People usually watch the road when they walk
894	0	People usually don't need condiments while cooking	People usually don't need computers while cooking
895	0	People usually feed tiger grass in zoos	People usually feed tiger meat in zoos
896	0	People can usually see snow in the summer	People can usually see snow in the winter
897	1	Some people were born on February twentieth	Some people were born on February thirtieth
898	0	People can open locked boxes directly	People can open unlocked boxes directly
899	1	It's easy for people to see their neighbors	It's hard for people to see their neighbors
900	1	People usually pack food on plates	People usually pack food on hands
901	0	people usually marry the one they hate	people usually marry the one they love
902	0	People usually go to the gym for eating	People usually go to the gym for exercise
903	0	People usually go fishing in sand	People usually go fishing in water
904	0	The temperature during the day is usually lower than at night	The temperature during the day is usually higher than at night
905	1	People usually dry themselves with towels	People usually dry their bodies with plastic
906	1	We can use the cup to catch water	We can use the net to catch water
907	0	People can use calculators to make telephone calls	People can use mobile phones to make phone calls
908	1	The Earth revolves around the sun	The Earth revolves around the moon
909	1	Beer contains water	Beer contains gasoline
910	0	elephants are small animals	elephants are enormous animals
911	1	we can see tigers in the zoo	we can see aliens in the zoo
912	1	the fruit is a kind of food	the stone is a kind of food
913	0	Models are usually very short	Models are usually very tall
914	1	Books are made of paper	Books are made of stones
915	0	my bag is full of chairs	my bag is full of books
916	1	the movie is so boring that I fall asleep	the movie is so interesting that I fall asleep
917	0	this land is so barren that trees grow well	this land is so fertile that trees grow well
918	1	this article is so brief that I can read it easily	this article is so long that I can read it easily
919	1	it is dangerous to swim in the sea	it is safe to swim in the sea
920	0	The soldiers were very patriotic and they attack their country	The soldiers were very patriotic and they defend their country
921	0	I live in the city for its fresh air	I live in the countryside for its fresh air
922	0	he is so inexperienced that he finished the task quickly	he is so experienced that he finished the task quickly
923	0	we need to be friendly to our enemies	we need to be friendly to our friends
924	0	it is hopeless for you to be admitted by the famous university because you are so outstanding	it is hopeful for you to be admitted by the famous university because you are so outstanding
925	1	Servants need to serve their masters	Masters need to serve their servants
926	0	my house is a public place	my house is a private place
927	0	most plants prefer to grow in the shadow	most plants prefer to grow in the sun
928	1	When the room is dark you want to turn on the light	When the room is very bright you want to turn on the light
929	1	you'd better wash your hands after using the toilet	you'd better not wash your hands after using the toilet
930	1	You don't want to wear short sleeves outside in winter	You want to wear short sleeves outside in winter
931	0	Diesel cars need no oil to run	Diesel cars need oil to run
932	1	People will die if they lose too much blood	The more blood you lose the healthier you'll be
933	0	Drunk driving is a good habit	Drunk driving is not a good habit
934	0	A magnet can attract aluminum	A magnet can attract iron
935	1	Bricks can make walls	Papers can make walls
936	1	We can brush our teeth with toothpaste	We can brush our teeth with body wash
937	0	he used his mind to open the door	he used his hand to open the door
938	1	he used fire to cook a meal	he used water to cook a meal
939	0	he drinks a cup of oil	he drinks a cup of coffee
940	1	she traveled to the Antarctic by air	she traveled to the Antarctic on foot
941	0	I love eating books	I love reading books
942	0	after dinner he prepared the dishes	after dinner he washed the dishes
943	0	he squeezed some lemonade from apples	he squeezed some lemonade from lemons
944	0	he drank some hot water to cool down	he drank some cold water to cool down
945	0	early in the morning he went out for dinner	early in the morning he went out for breakfast
946	1	she ate ice cream to relieve the thirst	she ate ice cream to relieve the pain
947	0	the waiter paid the bill of a delicious meal	the guest paid the bill of a delicious meal
948	0	I love to drink soda of 20-year history	I love to drink wine of 20-year history
949	0	as for lunch he took some pills	as for lunch he took some buns
950	1	he brushed his teeth at home	he brushed his teeth at school
951	1	his family drives a car to go on a trip	his family drives a train to go on a trip
952	1	the desk is made of wood	the desk is made of wool
953	1	the carpet is made of wool	the carpet is made of wood
954	0	shoes made of artificial leather are expensive	shoes made of real leather are expensive
955	1	he came here yesterday	he came here tomorrow
956	1	rocks had fallen from above	rocks had fallen from beneath
957	1	she threw dirty clothes into a washing machine	she threw clean clothes into a washing machine
958	0	people tell their future to the next generation	people tell their history to the next generation
959	0	ancient people made tools of metal	ancient people made tools of stone
960	1	I like to chase after butterflies	I like to chase after bees
961	1	he kicks a football on the ground	he kicks a basketball on the ground
962	0	she read a fairy tale on the newspaper	she read breaking news on the newspaper
963	1	he put on his earphone and listened to the radio	he put on his eyeglasses and listened to the radio
964	0	he ate cookies after going to bed	he ate cookies before going to bed
965	1	I opened my mouth and breathed heavily	I opened my eyes and breathed heavily
966	0	he married his dog	he married his girlfriend
967	1	he invited his female friend to his wedding	he invited his girlfriend to his wedding
968	1	we need an hour to get to the airport	we need a month to get to the airport
969	0	the company starts offices all over the building	the company starts offices all over the world
970	1	my family lives in a large house	my family lives in a large box
971	0	we said goodbye and met	we said goodbye and left
972	1	I often walk my dog after dinner	I often walk my bag after dinner
973	0	my arm hurts and it's very comfortable	my arm hurts and it's very painful
974	0	I'm looking for a job as a mother	I'm looking for a job as a babysitter
975	1	he got into his boat and started to row	he got into his car and started to row
976	0	running makes me feel full	running makes me feel hungry
977	1	she ate 3 hamburgers for lunch	she ate 30 hamburgers for lunch
978	0	he rode a bike in the river	he rode a bike in the street
979	0	he loves skating on water	he loves skating on ice
980	0	he started to work at the age of 2	he started to work at the age of 20
981	1	there are sixty students in this class	there are sixty teachers in this class
982	0	she turned on the light to sleep	she turned on the light to study
983	0	the farmer planted corn on his head	the farmer planted corn on his farm
984	0	leaves became green in autumn	leaves became yellow in autumn
985	0	we missed the first bus and had to take a taxi	we missed the last bus and had to take a taxi
986	1	she made me a cup of tea	she made me a cup of cookies
987	0	I bought snakes from the supermarket	I bought snacks from the supermarket
988	0	the apple grew under the tree	the apple grew on the tree
989	1	food can be cooked in a pan	food can be cooked in a van
990	1	he bought a dictionary yesterday	he wrote a dictionary yesterday
991	0	he lost all his money in donating	he lost all his money in gambling
992	0	he brought an exhibit from the museum	he brought a souvenir from the museum
993	0	he scored the losing goal	he scored the winning goal
994	0	we will watch the game on the radio	we will watch the game on tv
995	1	he fell asleep under the tree	he fell asleep in the tree
996	0	drivers should not drive when they are energetic	drivers should not drive when they are tired
997	0	I woke up and found an elephant in my pajama	I woke up and found a mosquito in my pajama
998	1	the new product catches readers' eye	the new product catches readers' ear
999	1	they climbed the mountain and reached the top	they reached the top and climbed the mountain
1000	1	comb can part hair	comb can cut hair
1001	1	we were told to keep silent in the library	we were told to keep noisy in the library
1002	0	the artist painted the handle to open the door	the artist pulled the handle to open the door
1003	0	the security officer robbed the bank	the security officer guarded the bank
1004	1	he failed the course three times	he passed the course three times
1005	0	he put the money into his hat	he put the money into his pocket
1006	1	the new album of the singer is released	the new movie of the singer is released
1007	0	the police officer kissed the robber in the leg	the police officer shot the robber in the leg
1008	0	he saw a tiger at the hospital	he saw a tiger at the zoo
1009	1	he swam in the lake	he swam in the fish tank
1010	0	he vowed to love her for the rest of day	he vowed to love her for the rest of life
1011	1	he took the final exam to pass the course	he skipped the final exam to pass the course
1012	0	he felt depressed at the good news	he felt pleased with the good news
1013	0	the writer won an award for his new movie	the director won an award for his new movie
1014	1	he took a photo of all his friends	he took a photo of all human beings
1015	1	thank you for your selfless action	thank you for your selfish action
1016	0	the reporter awarded the Olympic champion	the reporter interviewed the Olympic champion
1017	0	the impressive speech was interrupted by hiss	the impressive speech was interrupted by applause
1018	0	he struggled to make his nightmare come true	he struggled to make his dream come true
1019	1	he changed his job due to low salary	he changed his job due to high salary
1020	0	I got a stomachache and went to the dentist's	I got a stomachache and went to the chemist's
1021	0	it took 7 days to receive the email	it took 7 seconds to receive the email
1022	1	he bought a cake to celebrate her birthday	he ate a cake to celebrate her birthday
1023	1	he escaped the bullet and survived	he escaped the bullet and died
1024	1	the teacher read an interesting story to the students	the chalk read an interesting story to the students
1025	1	the treasure is inherited from his ancestors	the treasure is inherited from his descendants
1026	0	he threw a plate for his dog to catch	he threw a frisbee for his dog to catch
1027	1	she put on running shoes before jogging	she put off running shoes before jogging
1028	0	he continued to read the book to the first page	he continued to read the book to the last page
1029	0	students like it when teachers let them go later	students like it when teachers let them go early
1030	1	the big hand on a watch shows the minute	the big hand on a watch shows the day
